isin,tradingsymbol,category,margin,leverage
INE117A01022,ABB,fo,25.4,3.94
INE208C01025,AEGISLOG,non_fo,34.97,2.86
INE885A01032,ARE&M,non_fo,29.37,3.4
INE032A01023,BOMDYEING,non_fo,35.76,2.8
INE100A01010,ATUL,non_fo,28.6,3.5
INE193E01025,BAJAJELEC,non_fo,29.95,3.34
INE306A01021,BAJAJHIND,non_fo,35.12,2.85
INE451A01017,FORCEMOT,fo,34.1,2.93
INE296A01032,BAJFINANCE,fo,24.8,4.03
INE119A01028,BALRAMCHIN,non_fo,31.28,3.2
INE213C01025,BANCOINDIA,non_fo,40.17,2.49
INE055A01016,ABREL,non_fo,34.4,2.91
INE459A01010,BANARISUG,non_categorized,50,2
INE373A01013,BASF,non_fo,30.95,3.23
INE176A01028,BATAINDIA,non_fo,28.31,3.53
INE258A01024,BEML,non_fo,36.91,2.71
INE263A01024,BEL,fo,25.6,3.91
INE922A01025,BEPL,non_fo,31.45,3.18
INE472A01039,BLUESTARCO,fo,26.8,3.73
INE486A01021,CESC,non_fo,30.13,3.32
INE085A01013,CHAMBLFERT,non_fo,31.12,3.21
INE302A01020,EXIDEIND,fo,24.6,4.07
INE059A01026,CIPLA,fo,22.6,4.42
INE007A01025,CRISIL,non_fo,29.6,3.38
INE067A01029,CGPOWER,fo,27,3.7
INE016A01026,DABUR,fo,22.6,4.42
INE495A01022,DALMIASUG,non_fo,34.61,2.89
INE034A01011,ARVIND,non_fo,33.73,2.96
INE257A01026,BHEL,fo,28.3,3.53
INE094A01015,HINDPETRO,fo,27.1,3.69
INE039A01010,IFCI,non_fo,39.52,2.53
INE153A01019,MTNL,non_fo,38.94,2.57
INE103A01014,MRPL,non_fo,38.57,2.59
INE178A01016,CHENNPETRO,non_fo,38.08,2.63
INE062A01020,SBIN,fo,23.1,4.33
INE114A01011,SAIL,fo,27.9,3.58
INE280A01028,TITAN,fo,22.6,4.42
INE008A01015,IDBI,non_fo,37.75,2.65
INE500A01029,DCW,non_fo,38.5,2.6
INE041A01016,DHAMPURSUG,non_fo,32.61,3.07
INE089A01031,DRREDDY,fo,22.6,4.42
INE126A01031,EIDPARRY,non_fo,30.33,3.3
INE199A01012,PGHL,non_fo,26.5,3.77
INE086A01029,ELECTCAST,non_fo,38.98,2.57
INE284A01012,ESABINDIA,non_fo,28.76,3.48
INE255A01020,EPL,non_fo,31.54,3.17
INE778B01029,ESTER,non_categorized,50,2
INE235A01022,FINCABLES,non_fo,32.6,3.07
INE516A01017,UFLEX,non_fo,32.18,3.11
INE519A01011,FOSECOIND,non_categorized,50,2
INE388A01029,GANESHBE,non_categorized,50,2
INE260B01028,GODFRYPHLP,fo,36.6,2.73
INE233A01035,GODREJIND,non_fo,32.71,3.06
INE531A01024,KANSAINER,non_fo,28.12,3.56
INE539A01019,GHCL,non_fo,30.4,3.29
INE040A01034,HDFCBANK,fo,22.6,4.42
INE158A01026,HEROMOTOCO,fo,24.1,4.15
INE548A01028,HFCL,non_fo,35.54,2.81
INE019C01026,HSCL,non_fo,31.93,3.13
INE549A01026,HCC,non_fo,39.33,2.54
INE345A01011,HINDOILEXP,non_fo,35.52,2.82
INE415A01038,AGI,non_fo,35.65,2.81
INE267A01025,HINDZINC,fo,29.7,3.37
INE204A01010,IGPL,non_categorized,50,2
INE560A01023,INDIAGLYCO,non_fo,35.1,2.85
INE156A01020,INDORAMA,non_categorized,50,2
INE009A01021,INFY,fo,23.6,4.24
INE177A01018,INGERRAND,non_fo,29.25,3.42
INE570A01022,IONEXCHANG,non_fo,32.97,3.03
INE209A01019,SUNDROP,non_categorized,50,2
INE175A01038,JISLJALEQS,non_fo,37.93,2.64
INE197D01010,JINDALPOLY,non_fo,50,2
INE019A01038,JSWSTEEL,fo,23.9,4.18
INE217B01036,KAJARIACER,non_fo,30.06,3.33
INE907A01026,KSL,non_fo,33.73,2.96
INE716A01013,WHIRLPOOL,non_fo,33.33,3
INE732A01036,KIRLOSBROS,non_fo,36.19,2.76
INE250A01039,KIRLOSIND,non_fo,33.01,3.03
INE237A01036,KOTAKBANK,fo,22.6,4.42
INE999A01023,KSB,non_fo,30.18,3.31
INE337A01034,LGBBROSLTD,non_fo,33.47,2.99
INE849A01020,TRENT,fo,27.4,3.65
INE269B01029,LMW,non_fo,29.85,3.35
INE115A01026,LICHSGFIN,fo,24.3,4.12
INE326A01037,LUPIN,fo,22.8,4.39
INE331A01037,RAMCOCEM,non_fo,28.13,3.55
INE271B01025,MAHSEAMLES,non_fo,30.48,3.28
INE288A01013,MAHSCOOTER,non_fo,31.16,3.21
INE180A01020,MFSL,fo,23.6,4.24
INE831A01028,MIRCELECTR,non_categorized,50,2
INE485A01015,CENTENKA,non_categorized,50,2
INE083A01026,MOREPENLAB,non_fo,37.29,2.68
INE883A01011,MRF,non_fo,27.04,3.7
