Stock Name,Symbol
360 ONE WAM Ltd,360ONE
Abb India Limited,ABB
Aditya Birla Capital Ltd,ABCAPITAL
Acc Limited,ACC
Adani Energy Solutions Ltd,ADANIENSOL
Adani Enterprises Limited,ADANIENT
Adani Green Energy Ltd,ADANIGREEN
Adani Ports And Special Economic Zone Limited,ADANIPORTS
Adani Power Limited,ADANIPOWER
Alkem Laboratories Limited,ALKEM
Ambuja Cements Limited,AMBUJACEM
Apl Apollo Tubes Limited,APLAPOLLO
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Ashok Leyland Limited,ASHOKLEY
Asian Paints Limited,ASIANPAINT
Astral Ltd,ASTRAL
Adani Total Gas Ltd,ATGL
AU Small Finance Bank Ltd,AUBANK
Aurobindo Pharma Limited,AUROPHARMA
Axis Bank Limited,AXISBANK
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Housing Finance Ltd,BAJAJHFL
Bajaj Holdings & Investment Limited,BAJAJHLDNG
Bajaj Finance Limited,BAJFINANCE
Bank Of Baroda Ltd,BANKBARODA
Bank Of India Ltd,BANKINDIA
Bharat Dynamics Ltd,BDL
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharti Airtel Limited,BHARTIARTL
Bharti Hexacom Ltd,BHARTIHEXA
Bharat Heavy Electricals Limited,BHEL
Biocon Limited,BIOCON
Blue Star Limited,BLUESTARCO
Bosch Limited,BOSCHLTD
Bharat Petroleum Corporation Limited,BPCL
Britannia Industries Limited,BRITANNIA
BSE (Bombay stock exchange) Ltd,BSE
Canara Bank Ltd,CANBK
CG Power and Industrial Solutions Ltd,CGPOWER
Cholamandalam Investment And Finance Company Limited,CHOLAFIN
Cipla Limited,CIPLA
Coal India Limited,COALINDIA
Cochin Shipyard Ltd,COCHINSHIP
Coforge (Niit Tech) Ltd,COFORGE
Colgate Palmolive (india) Limited,COLPAL
Container Corporation Of India Limited,CONCOR
Coromandel International Limited,COROMANDEL
Cummins India Limited,CUMMINSIND
Dabur India Limited,DABUR
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies Ltd,DIXON
Dlf Limited,DLF
Avenue Supermarts Ltd,DMART
Dr. Reddy's Laboratories Limited,DRREDDY
Eicher Motors Limited,EICHERMOT
Siemens Energy India Ltd,ENRIN
Eternal Ltd,ETERNAL
Exide Industries Limited,EXIDEIND
The Federal Bank  Limited,FEDERALBNK
Fortis Healthcare Limited,FORTIS
Gail (india) Limited,GAIL
Glenmark Pharmaceuticals Limited,GLENMARK
GMR Airports Ltd,GMRAIRPORT
Godfrey Phillips India Limited,GODFRYPHLP
Godrej Consumer Products Limited,GODREJCP
Godrej Properties Limited,GODREJPROP
Grasim Industries Limited,GRASIM
Hindustan Aeronautics Ltd,HAL
Havells India Limited,HAVELLS
Hcl Technologies Limited,HCLTECH
HDFC Asset Management Company Ltd,HDFCAMC
Hdfc Bank Limited,HDFCBANK
HDFC Life Insurance Company Ltd,HDFCLIFE
Hero Motocorp Limited,HEROMOTOCO
Hindalco Industries Limited,HINDALCO
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Housing and Urban Development Corporation Ltd,HUDCO
Hyundai Motor India Ltd,HYUNDAI
Icici Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Ltd,ICICIGI
Vodafone Idea Ltd,IDEA
IDFC First Bank Ltd,IDFCFIRSTB
Indraprastha Gas Limited,IGL
The Indian Hotels Company Limited,INDHOTEL
Indian Bank Ltd,INDIANB
Interglobe Aviation Limited,INDIGO
Indusind Bank Limited,INDUSINDBK
Indus Towers Ltd (Bharti Infratel),INDUSTOWER
Infosys Limited,INFY
Indian Oil Corporation Limited,IOC
Irb Infrastructure Developers Limited,IRB
Indian Railway Catering & Tourism Corporation Ltd,IRCTC
Indian Renewable Energy Development Agency Ltd,IREDA
Indian Railway Finance Corporation Ltd,IRFC
Itc Limited,ITC
ITC Hotels Ltd,ITCHOTELS
Jindal Steel Ltd,JINDALSTEL
Jio Financial Services Ltd,JIOFIN
Jsw Energy Limited,JSWENERGY
Jsw Steel Limited,JSWSTEEL
Jubilant Foodworks Limited,JUBLFOOD
Kalyan Jewellers India Ltd,KALYANKJIL
Kei Industries Limited,KEI
Kotak Mahindra Bank Limited,KOTAKBANK
KPIT Technologies Ltd,KPITTECH
Lic Housing Finance Limited,LICHSGFIN
Life Insurance Corporation of India Ltd,LICI
Lodha Developers Ltd,LODHA
Larsen & Toubro Limited,LT
L&T Finance Ltd,LTF
LTIMindtree Ltd,LTM
Lupin Limited,LUPIN
Mahindra & Mahindra Limited,M&M
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mankind Pharma Ltd,MANKIND
Marico Limited,MARICO
Maruti Suzuki India Limited,MARUTI
Max Healthcare Institute Ltd,MAXHEALTH
Mazagon Dock Shipbuilders Ltd,MAZDOCK
Max Financial Services Limited,MFSL
Samvardhana Motherson International Ltd,MOTHERSON
Motilal Oswal Financial Services Limited,MOTILALOFS
Mphasis Limited,MPHASIS
Mrf Limited,MRF
Muthoot Finance Limited,MUTHOOTFIN
National Aluminium Company Limited,NATIONALUM
Info Edge (india) Limited,NAUKRI
Nestle India Limited,NESTLEIND
Nhpc Limited,NHPC
Nmdc Limited,NMDC
Ntpc Limited,NTPC
NTPC Green Energy Ltd,NTPCGREEN
FSN E-Commerce Ventures Ltd,NYKAA
Oberoi Realty Limited,OBEROIRLTY
Oracle Financial Services Software Limited,OFSS
Oil India Limited,OIL
Oil & Natural Gas Corporation Limited,ONGC
Page Industries Limited,PAGEIND
Patanjali Foods Ltd,PATANJALI
One 97 Communications Ltd,PAYTM
Persistent Systems Limited,PERSISTENT
Power Finance Corporation Limited,PFC
The Phoenix Mills Limited,PHOENIXLTD
Pidilite Industries Limited,PIDILITIND
Pi Industries Limited,PIIND
Punjab National Bank Ltd,PNB
PB Fintech Ltd,POLICYBZR
Polycab India Ltd,POLYCAB
Power Grid Corporation Of India Limited,POWERGRID
Hitachi Energy India Ltd,POWERINDIA
Premier Energies Ltd,PREMIERENE
Prestige Estates Projects Limited,PRESTIGE
REC Ltd,RECLTD
Reliance Industries Limited,RELIANCE
Rail Vikas Nigam Ltd,RVNL
Steel Authority Of India Limited,SAIL
SBI Cards & Payment Services Ltd,SBICARD
SBI Life Insurance Company Ltd,SBILIFE
State Bank Of India Ltd,SBIN
Shree Cements Limited,SHREECEM
Shriram Finance Ltd,SHRIRAMFIN
Siemens Limited,SIEMENS
Solar Industries India Limited,SOLARINDS
Sona BLW Precision Forgings Ltd,SONACOMS
Srf Limited,SRF
Sun Pharmaceuticals Industries Limited,SUNPHARMA
Supreme Industries Limited,SUPREMEIND
Suzlon Energy Limited,SUZLON
Swiggy Ltd,SWIGGY
Tata Communications Limited,TATACOMM
TATA Consumer Products Ltd,TATACONSUM
Tata Elxsi Limited,TATAELXSI
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tata Technologies Ltd,TATATECH
Tata Consultancy Services Limited,TCS
Tech Mahindra Limited,TECHM
Tube Investments of India Ltd,TIINDIA
Titan Company Limited,TITAN
Tata Motors Passenger Vehicles Ltd,TMPV
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Trent Limited,TRENT
Tvs Motor Company Limited,TVSMOTOR
Ultratech Cement Limited,ULTRACEMCO
Union Bank Of India Ltd,UNIONBANK
United Spirits Ltd,UNITDSPR
Upl Limited,UPL
Varun Beverages Limited,VBL
Vedanta Limited,VEDL
Vishal Mega Mart Ltd,VMM
Voltas Limited,VOLTAS
Waaree Energies Ltd,WAAREEENER
Wipro Limited,WIPRO
Yes Bank Limited,YESBANK
Zydus Lifesciences Ltd,ZYDUSLIFE
