symbol,divergence_low,buy_above,status,gtt_start,updated_at
AKUMS,417.95,428.86,WAITING,2026-01-26,2026-01-26 00:50:34
AKZOINDIA,2910.0,2962.51,WAITING,2026-01-26,2026-01-26 00:50:34
APOLLOHOSP,6696.5,6849.67,WAITING,2026-01-26,2026-01-26 00:50:34
ATUL,5735.0,5959.9,WAITING,2026-01-26,2026-01-26 00:50:34
DBREALTY,99.85,109.1,WAITING,2026-01-26,2026-01-26 00:50:34
KPITTECH,1097.0,1125.25,WAITING,2026-01-26,2026-01-26 00:50:34
NUVOCO,342.45,353.51,WAITING,2026-01-26,2026-01-26 00:50:34
ONGC,241.55,246.79,WAITING,2026-01-26,2026-01-26 00:50:34
PAGEIND,32480.0,33066.0,WAITING,2026-01-26,2026-01-26 00:50:34
PATANJALI,504.9,516.68,WAITING,2026-01-26,2026-01-26 00:50:34
RAINBOW,1160.8,1194.78,WAITING,2026-01-26,2026-01-26 00:50:34
SOBHA,1332.4,1400.8,WAITING,2026-01-26,2026-01-26 00:50:34
SUNTV,480.2,577.75,WAITING,2026-01-26,2026-01-26 00:50:34
TITAN,3980.0,4071.43,WAITING,2026-01-26,2026-01-26 00:50:34
WHIRLPOOL,785.55,805.71,WAITING,2026-01-26,2026-01-26 00:50:34
