[2026-01-27 17:45:40] [strategy.log] Strategy engine started
[2026-01-27 17:45:41] [strategy.log] Market data updated
[2026-01-27 17:45:41] [INFO] Starting Momentum Engine
[2026-01-27 17:45:41] [INFO] Total symbols loaded: 499
[2026-01-27 17:45:41] [DEBUG] 360ONE: RSI condition failed (41.93)
[2026-01-27 17:45:41] [DEBUG] 3MINDIA: RSI condition failed (36.32)
[2026-01-27 17:45:41] [DEBUG] AADHARHFC: RSI condition failed (43.78)
[2026-01-27 17:45:41] [DEBUG] AARTIIND: RSI condition failed (43.38)
[2026-01-27 17:45:41] [DEBUG] AAVAS: RSI condition failed (55.78)
[2026-01-27 17:45:41] [DEBUG] ABB: RSI condition failed (29.77)
[2026-01-27 17:45:41] [DEBUG] ABBOTINDIA: RSI condition failed (38.93)
[2026-01-27 17:45:41] [DEBUG] ABCAPITAL: RSI condition failed (45.36)
[2026-01-27 17:45:41] [DEBUG] ABFRL: RSI condition failed (19.42)
[2026-01-27 17:45:41] [DEBUG] ABLBL: skipped (not enough candles)
[2026-01-27 17:45:41] [DEBUG] ABREL: RSI condition failed (15.00)
[2026-01-27 17:45:41] [DEBUG] ABSLAMC: RSI condition failed (48.10)
[2026-01-27 17:45:41] [DEBUG] ACC: RSI condition failed (39.10)
[2026-01-27 17:45:41] [DEBUG] ACE: RSI condition failed (28.32)
[2026-01-27 17:45:41] [DEBUG] ACMESOLAR: RSI condition failed (28.52)
[2026-01-27 17:45:41] [DEBUG] ADANIENSOL: RSI condition failed (28.69)
[2026-01-27 17:45:41] [DEBUG] ADANIENT: RSI condition failed (32.73)
[2026-01-27 17:45:41] [DEBUG] ADANIGREEN: RSI condition failed (22.61)
[2026-01-27 17:45:41] [DEBUG] ADANIPORTS: RSI condition failed (34.66)
[2026-01-27 17:45:41] [DEBUG] ADANIPOWER: RSI condition failed (36.98)
[2026-01-27 17:45:41] [DEBUG] AEGISLOG: RSI condition failed (27.71)
[2026-01-27 17:45:41] [DEBUG] AEGISVOPAK: skipped (not enough candles)
[2026-01-27 17:45:41] [DEBUG] AFCONS: RSI condition failed (25.02)
[2026-01-27 17:45:41] [DEBUG] AFFLE: RSI condition failed (21.35)
[2026-01-27 17:45:41] [DEBUG] AGARWALEYE: RSI condition failed (19.82)
[2026-01-27 17:45:41] [DEBUG] AIAENG: RSI condition failed (45.72)
[2026-01-27 17:45:41] [DEBUG] AIIL: RSI condition failed (31.02)
[2026-01-27 17:45:41] [DEBUG] AJANTPHARM: RSI condition failed (48.65)
[2026-01-27 17:45:41] [DEBUG] AKUMS: RSI condition failed (36.30)
[2026-01-27 17:45:41] [DEBUG] AKZOINDIA: RSI condition failed (21.99)
[2026-01-27 17:45:41] [DEBUG] ALKEM: RSI condition failed (54.75)
[2026-01-27 17:45:41] [DEBUG] ALKYLAMINE: RSI condition failed (45.49)
[2026-01-27 17:45:41] [DEBUG] ALOKINDS: RSI condition failed (37.53)
[2026-01-27 17:45:41] [DEBUG] AMBER: RSI condition failed (20.13)
[2026-01-27 17:45:41] [DEBUG] AMBUJACEM: RSI condition failed (43.09)
[2026-01-27 17:45:41] [DEBUG] ANANDRATHI: RSI condition failed (21.67)
[2026-01-27 17:45:41] [DEBUG] ANANTRAJ: RSI condition failed (34.16)
[2026-01-27 17:45:41] [DEBUG] ANGELONE: RSI condition failed (49.61)
[2026-01-27 17:45:41] [DEBUG] APARINDS: RSI condition failed (30.80)
[2026-01-27 17:45:41] [DEBUG] APLLTD: RSI condition failed (21.61)
[2026-01-27 17:45:41] [DEBUG] APOLLOHOSP: RSI condition failed (31.33)
[2026-01-27 17:45:41] [DEBUG] APOLLOTYRE: RSI condition failed (45.83)
[2026-01-27 17:45:41] [DEBUG] APTUS: RSI condition failed (38.81)
[2026-01-27 17:45:41] [DEBUG] ARE&M: RSI condition failed (18.96)
[2026-01-27 17:45:41] [DEBUG] ASAHIINDIA: RSI condition failed (47.08)
[2026-01-27 17:45:41] [DEBUG] ASIANPAINT: RSI condition failed (38.88)
[2026-01-27 17:45:41] [DEBUG] ASTERDM: RSI condition failed (33.36)
[2026-01-27 17:45:41] [DEBUG] ASTRAL: RSI condition failed (42.97)
[2026-01-27 17:45:41] [DEBUG] ASTRAZEN: RSI condition failed (34.52)
[2026-01-27 17:45:41] [DEBUG] ATGL: RSI condition failed (35.93)
[2026-01-27 17:45:41] [DEBUG] ATHERENERG: skipped (not enough candles)
[2026-01-27 17:45:41] [DEBUG] ATUL: RSI condition failed (43.62)
[2026-01-27 17:45:41] [DEBUG] AUBANK: RSI condition failed (39.93)
[2026-01-27 17:45:41] [DEBUG] AUROPHARMA: RSI condition failed (35.57)
[2026-01-27 17:45:41] [DEBUG] AWL: RSI condition failed (16.15)
[2026-01-27 17:45:41] [DEBUG] AXISBANK: RSI condition failed (59.40)
[2026-01-27 17:45:41] [DEBUG] BAJAJ-AUTO: RSI condition failed (53.48)
[2026-01-27 17:45:41] [DEBUG] BAJAJFINSV: RSI condition failed (34.72)
[2026-01-27 17:45:41] [DEBUG] BAJAJHFL: RSI condition failed (28.45)
[2026-01-27 17:45:41] [DEBUG] BAJAJHLDNG: RSI condition failed (34.14)
[2026-01-27 17:45:41] [DEBUG] BAJFINANCE: RSI condition failed (30.98)
[2026-01-27 17:45:41] [DEBUG] BALKRISIND: RSI condition failed (56.92)
[2026-01-27 17:45:41] [DEBUG] BALRAMCHIN: RSI condition failed (37.01)
[2026-01-27 17:45:41] [DEBUG] BANDHANBNK: RSI condition failed (57.00)
[2026-01-27 17:45:41] [DEBUG] BANKBARODA: RSI condition failed (49.21)
[2026-01-27 17:45:41] [DEBUG] BANKINDIA: Close below 30D high
[2026-01-27 17:45:41] [DEBUG] BASF: RSI condition failed (29.90)
[2026-01-27 17:45:41] [DEBUG] BATAINDIA: RSI condition failed (13.81)
[2026-01-27 17:45:41] [DEBUG] BAYERCROP: RSI condition failed (36.85)
[2026-01-27 17:45:41] [DEBUG] BBTC: RSI condition failed (35.84)
[2026-01-27 17:45:41] [DEBUG] BDL: RSI condition failed (45.75)
[2026-01-27 17:45:41] [DEBUG] BEL: RSI condition failed (54.41)
[2026-01-27 17:45:41] [DEBUG] BEML: RSI condition failed (30.26)
[2026-01-27 17:45:41] [DEBUG] BERGEPAINT: RSI condition failed (29.23)
[2026-01-27 17:45:41] [DEBUG] BHARATFORG: RSI condition failed (45.29)
[2026-01-27 17:45:41] [DEBUG] BHARTIARTL: RSI condition failed (28.93)
[2026-01-27 17:45:41] [DEBUG] BHARTIHEXA: RSI condition failed (30.51)
[2026-01-27 17:45:41] [DEBUG] BHEL: RSI condition failed (30.55)
[2026-01-27 17:45:41] [DEBUG] BIKAJI: RSI condition failed (25.20)
[2026-01-27 17:45:41] [DEBUG] BIOCON: RSI condition failed (36.51)
[2026-01-27 17:45:41] [DEBUG] BLS: RSI condition failed (24.51)
[2026-01-27 17:45:41] [DEBUG] BLUEDART: RSI condition failed (41.83)
[2026-01-27 17:45:41] [DEBUG] BLUEJET: RSI condition failed (21.87)
[2026-01-27 17:45:41] [DEBUG] BLUESTARCO: RSI condition failed (33.66)
[2026-01-27 17:45:41] [DEBUG] BOSCHLTD: RSI condition failed (36.15)
[2026-01-27 17:45:41] [DEBUG] BPCL: RSI condition failed (43.25)
[2026-01-27 17:45:41] [DEBUG] BRIGADE: RSI condition failed (21.08)
[2026-01-27 17:45:41] [DEBUG] BRITANNIA: RSI condition failed (45.51)
[2026-01-27 17:45:41] [DEBUG] BSE: RSI condition failed (53.34)
[2026-01-27 17:45:41] [DEBUG] BSOFT: RSI condition failed (39.32)
[2026-01-27 17:45:41] [DEBUG] CAMPUS: RSI condition failed (37.13)
[2026-01-27 17:45:41] [DEBUG] CAMS: RSI condition failed (40.75)
[2026-01-27 17:45:41] [DEBUG] CANBK: RSI condition failed (53.16)
[2026-01-27 17:45:41] [DEBUG] CANFINHOME: RSI condition failed (41.81)
[2026-01-27 17:45:41] [DEBUG] CAPLIPOINT: RSI condition failed (33.64)
[2026-01-27 17:45:41] [DEBUG] CARBORUNIV: RSI condition failed (46.42)
[2026-01-27 17:45:41] [DEBUG] CASTROLIND: RSI condition failed (40.12)
[2026-01-27 17:45:41] [DEBUG] CCL: RSI condition failed (46.32)
[2026-01-27 17:45:41] [DEBUG] CDSL: RSI condition failed (28.47)
[2026-01-27 17:45:41] [DEBUG] CEATLTD: RSI condition failed (46.04)
[2026-01-27 17:45:41] [DEBUG] CENTRALBK: RSI condition failed (36.53)
[2026-01-27 17:45:41] [DEBUG] CENTURYPLY: RSI condition failed (36.36)
[2026-01-27 17:45:41] [DEBUG] CERA: RSI condition failed (28.22)
[2026-01-27 17:45:41] [DEBUG] CESC: RSI condition failed (22.71)
[2026-01-27 17:45:41] [DEBUG] CGCL: RSI condition failed (27.18)
[2026-01-27 17:45:41] [DEBUG] CGPOWER: RSI condition failed (23.77)
[2026-01-27 17:45:41] [DEBUG] CHALET: RSI condition failed (30.61)
[2026-01-27 17:45:41] [DEBUG] CHAMBLFERT: RSI condition failed (44.08)
[2026-01-27 17:45:41] [DEBUG] CHENNPETRO: RSI condition failed (49.86)
[2026-01-27 17:45:41] [DEBUG] CHOICEIN: RSI condition failed (30.50)
[2026-01-27 17:45:41] [DEBUG] CHOLAFIN: RSI condition failed (40.33)
[2026-01-27 17:45:41] [DEBUG] CHOLAHLDNG: RSI condition failed (25.36)
[2026-01-27 17:45:41] [DEBUG] CIPLA: RSI condition failed (17.58)
[2026-01-27 17:45:41] [DEBUG] CLEAN: RSI condition failed (38.90)
[2026-01-27 17:45:41] [DEBUG] COALINDIA: RSI condition failed (58.29)
[2026-01-27 17:45:41] [DEBUG] COCHINSHIP: RSI condition failed (35.63)
[2026-01-27 17:45:41] [DEBUG] COFORGE: RSI condition failed (42.50)
[2026-01-27 17:45:41] [DEBUG] COHANCE: RSI condition failed (9.15)
[2026-01-27 17:45:41] [DEBUG] COLPAL: RSI condition failed (53.86)
[2026-01-27 17:45:41] [DEBUG] CONCOR: RSI condition failed (26.73)
[2026-01-27 17:45:41] [DEBUG] CONCORDBIO: RSI condition failed (33.12)
[2026-01-27 17:45:41] [DEBUG] COROMANDEL: RSI condition failed (46.11)
[2026-01-27 17:45:41] [DEBUG] CRAFTSMAN: RSI condition failed (51.66)
[2026-01-27 17:45:41] [DEBUG] CREDITACC: RSI condition failed (53.87)
[2026-01-27 17:45:41] [DEBUG] CRISIL: RSI condition failed (43.09)
[2026-01-27 17:45:41] [DEBUG] CROMPTON: RSI condition failed (21.60)
[2026-01-27 17:45:41] [DEBUG] CUB: RSI condition failed (54.32)
[2026-01-27 17:45:41] [DEBUG] CUMMINSIND: RSI condition failed (31.59)
[2026-01-27 17:45:41] [DEBUG] CYIENT: RSI condition failed (41.14)
[2026-01-27 17:45:41] [DEBUG] DABUR: RSI condition failed (51.04)
[2026-01-27 17:45:41] [DEBUG] DALBHARAT: RSI condition failed (49.73)
[2026-01-27 17:45:41] [DEBUG] DATAPATTNS: RSI condition failed (30.95)
[2026-01-27 17:45:41] [DEBUG] DBREALTY: RSI condition failed (26.57)
[2026-01-27 17:45:41] [DEBUG] DCMSHRIRAM: RSI condition failed (31.00)
[2026-01-27 17:45:41] [DEBUG] DEEPAKFERT: RSI condition failed (38.05)
[2026-01-27 17:45:41] [DEBUG] DEEPAKNTR: RSI condition failed (38.57)
[2026-01-27 17:45:41] [DEBUG] DELHIVERY: RSI condition failed (46.09)
[2026-01-27 17:45:41] [DEBUG] DEVYANI: RSI condition failed (20.75)
[2026-01-27 17:45:41] [DEBUG] DIVISLAB: RSI condition failed (36.05)
[2026-01-27 17:45:41] [DEBUG] DIXON: RSI condition failed (21.43)
[2026-01-27 17:45:41] [DEBUG] DLF: RSI condition failed (22.65)
[2026-01-27 17:45:41] [DEBUG] DMART: RSI condition failed (37.84)
[2026-01-27 17:45:41] [DEBUG] DOMS: RSI condition failed (32.56)
[2026-01-27 17:45:41] [DEBUG] DRREDDY: RSI condition failed (54.89)
[2026-01-27 17:45:41] [DEBUG] ECLERX: RSI condition failed (37.86)
