[2026-01-27 22:31:43] [INFO] Momentum Engine Started (Chartink Logic)
[2026-02-03 09:02:08] RUN START | Universe size = 9205
[2026-02-03 22:13:58] HANGSENG BEES-NAV | SKIP insufficient candles
[2026-02-03 22:26:08] HANGSENG BEES-NAV | SKIP insufficient candles
[2026-02-03 22:26:08] NIFTY50 DIV POINT | NEW → WAITING
[2026-02-03 22:33:15] HANGSENG BEES-NAV | SKIP insufficient candles
[2026-02-03 22:33:15] NIFTY50 DIV POINT | NEW → WAITING
[2026-02-06 01:20:45] HANGSENG BEES-NAV | SKIP insufficient candles
[2026-02-06 01:20:46] NIFTY50 DIV POINT | NEW → WAITING
[2026-02-06 01:20:48] NIFTY GS 4 8YR | NEW → WAITING
[2026-02-06 01:20:49] NIFTY GS COMPSITE | NEW → WAITING
[2026-02-06 01:20:56] NIFTY TATA 25 CAP | SKIP insufficient candles
[2026-02-06 01:21:04] BHARATBOND-APR30 | NEW → WAITING
[2026-02-06 01:21:04] NIFTY500 LOWVOL50 | SKIP insufficient candles
[2026-02-06 01:21:04] NIFTY500 MQVLV50 | SKIP insufficient candles
[2026-02-06 01:21:04] NIFTY500 QLTY50 | SKIP insufficient candles
[2026-02-06 01:21:05] NIFTY INDIA FPI 150 | SKIP insufficient candles
[2026-02-06 01:21:05] NIFTY500 FLEXICAP Q30 | SKIP insufficient candles
[2026-02-06 01:21:07] AARTIIND | NEW → WAITING
[2026-02-06 01:21:07] 656KA30-SG | SKIP insufficient candles
[2026-02-06 01:21:07] 66RJ30-SG | SKIP insufficient candles
[2026-02-06 01:21:08] 66GA30A-SG | SKIP insufficient candles
[2026-02-06 01:21:08] 664UP30-SG | SKIP insufficient candles
[2026-02-06 01:21:08] 67JK30-SG | SKIP insufficient candles
[2026-02-06 01:21:08] 67HR30-SG | SKIP insufficient candles
[2026-02-06 01:21:09] 667MH31-SG | SKIP insufficient candles
[2026-02-06 01:21:09] 679MP33-SG | SKIP insufficient candles
[2026-02-06 01:21:09] 677KA34-SG | SKIP insufficient candles
[2026-02-06 01:21:09] 685AP36-SG | SKIP insufficient candles
[2026-02-06 01:21:09] AEGISLOG | STATE=WAITING
[2026-02-06 01:21:09] AEGISLOG | WAITING → DULL
