[2026-02-02 22:45:18] ACMESOLAR | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:19] APLAPOLLO | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:19] ASHOKLEY | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:19] AXISBANK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:19] BANKBEES | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:19] BEL | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:20] BEML | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:20] BPCL | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:20] COALINDIA | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:20] CUB | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:20] DATAPATTNS | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:20] DLF | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:21] FEDERALBNK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:21] GAIL | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:21] GESHIP | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:21] GVT&D | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:21] HCLTECH | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:22] HINDCOPPER | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:22] ICICIBANK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:22] IOC | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:23] IRCTC | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:23] IREDA | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:23] ITCHOTELS | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:23] KARURVYSYA | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:23] KTKBANK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:24] LENSKART | FAIL | Insufficient candles (59)
[2026-02-02 22:45:24] M&M | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:24] MAZDOCK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:24] MID150BEES | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:24] MRPL | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:25] NAVINFLUOR | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:25] NESTLEIND | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:26] NIFTYBEES | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:26] NTPC | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:26] OIL | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:26] OLECTRA | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:26] ONGC | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:27] PETRONET | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:27] POWERGRID | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:28] RAINBOW | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:28] SBIN | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:28] SYRMA | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:28] TATACONSUM | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:28] TATASTEEL | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:29] TECHM | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:29] TMCV | FAIL | Insufficient candles (57)
[2026-02-02 22:45:30] TMPV | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:30] TORNTPOWER | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:30] TVSMOTOR | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:30] UNIONBANK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:31] VIKASECO | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:31] VIKASLIFE | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:45:31] YESBANK | FAIL | check_pyramiding_signal returned None
[2026-02-02 22:56:48] ACMESOLAR | CHECK | rsi_strengthening = False
[2026-02-02 22:56:48] ACMESOLAR | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:48] ACMESOLAR | CHECK | ema_distance_ok = True
[2026-02-02 22:56:48] ACMESOLAR | FAIL | pyramiding conditions not met
[2026-02-02 22:56:48] APLAPOLLO | CHECK | rsi_strengthening = True
