[2026-01-27 17:37:25] Strategy engine started
[2026-01-27 17:37:26] Market data updated
[2026-01-27 21:33:52] [strategy.log] Strategy engine started
[2026-01-27 21:33:53] [strategy.log] Market data updated
[2026-01-27 21:33:53] [INFO] Starting Momentum Engine
[2026-01-27 21:33:53] [INFO] Total symbols loaded: 499
[2026-01-27 21:33:53] [DEBUG] 360ONE: Daily RSI failed (41.93)
[2026-01-27 21:33:53] [DEBUG] 3MINDIA: Daily RSI failed (36.32)
[2026-01-27 21:33:53] [DEBUG] AADHARHFC: Daily RSI failed (43.78)
[2026-01-27 21:33:53] [DEBUG] AARTIIND: Daily RSI failed (43.38)
[2026-01-27 21:33:53] [DEBUG] AAVAS: Daily RSI failed (55.78)
[2026-01-27 21:33:53] [DEBUG] ABB: Daily RSI failed (29.77)
[2026-01-27 21:33:53] [DEBUG] ABBOTINDIA: Daily RSI failed (38.93)
[2026-01-27 21:33:53] [DEBUG] ABCAPITAL: Daily RSI failed (45.36)
[2026-01-27 21:33:53] [DEBUG] ABFRL: Daily RSI failed (19.42)
[2026-01-27 21:33:53] [DEBUG] ABLBL: skipped (not enough candles)
[2026-01-27 21:33:53] [DEBUG] ABREL: Daily RSI failed (15.00)
[2026-01-27 21:33:53] [DEBUG] ABSLAMC: Daily RSI failed (48.10)
[2026-01-27 21:33:53] [DEBUG] ACC: Daily RSI failed (39.10)
[2026-01-27 21:33:53] [DEBUG] ACE: Daily RSI failed (28.32)
[2026-01-27 21:33:53] [DEBUG] ACMESOLAR: Daily RSI failed (28.52)
[2026-01-27 21:33:53] [DEBUG] ADANIENSOL: Daily RSI failed (28.69)
[2026-01-27 21:33:53] [DEBUG] ADANIENT: Daily RSI failed (32.73)
[2026-01-27 21:33:53] [DEBUG] ADANIGREEN: Daily RSI failed (22.61)
[2026-01-27 21:33:53] [DEBUG] ADANIPORTS: Daily RSI failed (34.66)
[2026-01-27 21:33:53] [DEBUG] ADANIPOWER: Daily RSI failed (36.98)
[2026-01-27 21:33:53] [DEBUG] AEGISLOG: Daily RSI failed (27.71)
[2026-01-27 21:33:53] [DEBUG] AEGISVOPAK: skipped (not enough candles)
[2026-01-27 21:33:53] [DEBUG] AFCONS: Daily RSI failed (25.02)
[2026-01-27 21:33:53] [DEBUG] AFFLE: Daily RSI failed (21.35)
[2026-01-27 21:33:53] [DEBUG] AGARWALEYE: Daily RSI failed (19.82)
[2026-01-27 21:33:53] [DEBUG] AIAENG: Daily RSI failed (45.72)
[2026-01-27 21:33:53] [DEBUG] AIIL: Daily RSI failed (31.02)
[2026-01-27 21:33:53] [DEBUG] AJANTPHARM: Daily RSI failed (48.65)
[2026-01-27 21:33:53] [DEBUG] AKUMS: Daily RSI failed (36.30)
[2026-01-27 21:33:53] [DEBUG] AKZOINDIA: Daily RSI failed (21.99)
[2026-01-27 21:33:53] [DEBUG] ALKEM: Daily RSI failed (54.75)
[2026-01-27 21:33:53] [DEBUG] ALKYLAMINE: Daily RSI failed (45.49)
[2026-01-27 21:33:53] [DEBUG] ALOKINDS: Daily RSI failed (37.53)
[2026-01-27 21:33:53] [DEBUG] AMBER: Daily RSI failed (20.13)
[2026-01-27 21:33:53] [DEBUG] AMBUJACEM: Daily RSI failed (43.09)
[2026-01-27 21:33:53] [DEBUG] ANANDRATHI: Daily RSI failed (21.67)
[2026-01-27 21:33:53] [DEBUG] ANANTRAJ: Daily RSI failed (34.16)
[2026-01-27 21:33:53] [DEBUG] ANGELONE: Daily RSI failed (49.61)
[2026-01-27 21:33:53] [DEBUG] APARINDS: Daily RSI failed (30.80)
[2026-01-27 21:33:53] [DEBUG] APLLTD: Daily RSI failed (21.61)
[2026-01-27 21:33:53] [DEBUG] APOLLOHOSP: Daily RSI failed (31.33)
[2026-01-27 21:33:53] [DEBUG] APOLLOTYRE: Daily RSI failed (45.83)
[2026-01-27 21:33:53] [DEBUG] APTUS: Daily RSI failed (38.81)
[2026-01-27 21:33:53] [DEBUG] ARE&M: Daily RSI failed (18.96)
[2026-01-27 21:33:53] [DEBUG] ASAHIINDIA: Daily RSI failed (47.08)
[2026-01-27 21:33:53] [DEBUG] ASIANPAINT: Daily RSI failed (38.88)
[2026-01-27 21:33:53] [DEBUG] ASTERDM: Daily RSI failed (33.36)
[2026-01-27 21:33:53] [DEBUG] ASTRAL: Daily RSI failed (42.97)
[2026-01-27 21:33:53] [DEBUG] ASTRAZEN: Daily RSI failed (34.52)
[2026-01-27 21:33:53] [DEBUG] ATGL: Daily RSI failed (35.93)
[2026-01-27 21:33:53] [DEBUG] ATHERENERG: skipped (not enough candles)
[2026-01-27 21:33:53] [DEBUG] ATUL: Daily RSI failed (43.62)
[2026-01-27 21:33:53] [DEBUG] AUBANK: Daily RSI failed (39.93)
[2026-01-27 21:33:53] [DEBUG] AUROPHARMA: Daily RSI failed (35.57)
[2026-01-27 21:33:53] [DEBUG] AWL: Daily RSI failed (16.15)
[2026-01-27 21:33:53] [DEBUG] AXISBANK: Daily RSI failed (59.40)
[2026-01-27 21:33:53] [DEBUG] BAJAJ-AUTO: Daily RSI failed (53.48)
[2026-01-27 21:33:53] [DEBUG] BAJAJFINSV: Daily RSI failed (34.72)
[2026-01-27 21:33:53] [DEBUG] BAJAJHFL: Daily RSI failed (28.45)
[2026-01-27 21:33:53] [DEBUG] BAJAJHLDNG: Daily RSI failed (34.14)
[2026-01-27 21:33:53] [DEBUG] BAJFINANCE: Daily RSI failed (30.98)
[2026-01-27 21:33:53] [DEBUG] BALKRISIND: Daily RSI failed (56.92)
[2026-01-27 21:33:53] [DEBUG] BALRAMCHIN: Daily RSI failed (37.01)
[2026-01-27 21:33:53] [DEBUG] BANDHANBNK: Daily RSI failed (57.00)
[2026-01-27 21:33:53] [DEBUG] BANKBARODA: Daily RSI failed (49.21)
[2026-01-27 21:33:53] [DEBUG] BANKINDIA: Close below 30D high
[2026-01-27 21:33:53] [DEBUG] BASF: Daily RSI failed (29.90)
[2026-01-27 21:33:53] [DEBUG] BATAINDIA: Daily RSI failed (13.81)
[2026-01-27 21:33:53] [DEBUG] BAYERCROP: Daily RSI failed (36.85)
[2026-01-27 21:33:53] [DEBUG] BBTC: Daily RSI failed (35.84)
[2026-01-27 21:33:53] [DEBUG] BDL: Daily RSI failed (45.75)
